[0.000000] (-) TimerEvent: {}
[0.000815] (trsa_lab1) JobQueued: {'identifier': 'trsa_lab1', 'dependencies': OrderedDict()}
[0.001161] (trsa_lab1) JobStarted: {'identifier': 'trsa_lab1'}
[0.099822] (-) TimerEvent: {}
[0.200129] (-) TimerEvent: {}
[0.300449] (-) TimerEvent: {}
[0.400803] (-) TimerEvent: {}
[0.485040] (trsa_lab1) Command: {'cmd': ['/usr/bin/python3', '-W', 'ignore:setup.py install is deprecated', '-W', 'ignore:easy_install command is deprecated', 'setup.py', 'develop', '--editable', '--build-directory', '/home/davidter/ros2_ws/build/trsa_lab1/build', '--no-deps', 'symlink_data', '--force'], 'cwd': '/home/davidter/ros2_ws/build/trsa_lab1', 'env': {'LESSOPEN': '| /usr/bin/lesspipe %s', 'USER': 'davidter', 'SHLVL': '1', 'LD_LIBRARY_PATH': '/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib', 'HOME': '/home/davidter', 'OLDPWD': '/home/davidter/ros2_ws', 'ROS_PYTHON_VERSION': '3', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'WSL_DISTRO_NAME': 'Ubuntu-22.04', 'WAYLAND_DISPLAY': 'wayland-0', 'COLCON_PREFIX_PATH': '/home/davidter/ros2_ws/install', 'ROS_DISTRO': 'humble', 'LOGNAME': 'davidter', 'NAME': 'Asus-A15', 'WSL_INTEROP': '/run/WSL/4251_interop', 'PULSE_SERVER': 'unix:/mnt/wslg/PulseServer', '_': '/usr/bin/colcon', 'ROS_VERSION': '2', 'TERM': 'xterm-256color', 'ROS_LOCALHOST_ONLY': '0', 'PATH': '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/Program Files (x86)/VMware/VMware Workstation/bin/:/mnt/c/Program Files/Common Files/Oracle/Java/javapath:/mnt/c/Program Files (x86)/Common Files/Oracle/Java/java8path:/mnt/c/Program Files (x86)/Common Files/Oracle/Java/javapath:/mnt/c/Program Files/Microsoft/jdk-11.0.16.101-hotspot/bin:/mnt/c/WINDOWS/system32:/mnt/c/WINDOWS:/mnt/c/WINDOWS/System32/Wbem:/mnt/c/WINDOWS/System32/WindowsPowerShell/v1.0/:/mnt/c/WINDOWS/System32/OpenSSH/:/mnt/c/Program Files (x86)/NVIDIA Corporation/PhysX/Common:/mnt/c/Program Files/NVIDIA Corporation/NVIDIA NvDLISR:/mnt/c/Program Files (x86)/Windows Kits/10/Windows Performance Toolkit/:/mnt/c/Program Files/mosquitto:/mnt/c/Program Files/dotnet/:/mnt/c/JupyterLab:/mnt/c/ProgramData/anaconda3/condabin:/mnt/c/ProgramData/anaconda3:/mnt/c/ProgramData/anaconda3/Scripts:/mnt/c/ProgramData/anaconda3/Library/bin:/mnt/c/Program Files/nodejs/:/mnt/c/Program Files/PuTTY/:/mnt/c/Program Files/Git/cmd:/mnt/c/Program Files/Docker/Docker/resources/bin:/mnt/c/Users/David Ter/Desktop/ISCF_Lab3/bin:/mnt/c/str/labwork2/labwork2/src:/mnt/c/Users/David Ter/AppData/Local/Programs/Microsoft VS Code/bin:/mnt/c/program files/mosquito:/mnt/c/Users/David Ter/.dotnet/tools:/mnt/c/Users/David Ter/AppData/Local/Microsoft/WindowsApps:/mnt/c/Users/David Ter/AppData/Roaming/npm:/mnt/c/Program Files/Git/bin/:/mnt/c/Program Files/Git/cmd/:/snap/bin', 'XDG_RUNTIME_DIR': '/run/user/1000/', 'DISPLAY': ':0', 'LANG': 'en_US.UTF-8', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:', 'AMENT_PREFIX_PATH': '/home/davidter/ros2_ws/install/trsa_lab1:/opt/ros/humble', 'SHELL': '/bin/bash', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'PWD': '/home/davidter/ros2_ws/build/trsa_lab1', 'XDG_DATA_DIRS': '/usr/local/share:/usr/share:/var/lib/snapd/desktop', 'PYTHONPATH': '/home/davidter/ros2_ws/build/trsa_lab1/prefix_override:/usr/lib/python3/dist-packages/colcon_core/task/python/colcon_distutils_commands:/home/davidter/ros2_ws/install/trsa_lab1/lib/python3.10/site-packages:/home/davidter/ros2_ws/install/trsa_lab1/lib/python3.10/site-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages', 'COLCON': '1', 'WSL2_GUI_APPS_ENABLED': '1', 'HOSTTYPE': 'x86_64', 'WSLENV': ''}, 'shell': False}
[0.500927] (-) TimerEvent: {}
[0.601260] (-) TimerEvent: {}
[0.666169] (trsa_lab1) StdoutLine: {'line': b'running develop\n'}
[0.701424] (-) TimerEvent: {}
[0.773418] (trsa_lab1) StdoutLine: {'line': b'running egg_info\n'}
[0.773703] (trsa_lab1) StdoutLine: {'line': b'writing trsa_lab1.egg-info/PKG-INFO\n'}
[0.773879] (trsa_lab1) StdoutLine: {'line': b'writing dependency_links to trsa_lab1.egg-info/dependency_links.txt\n'}
[0.790719] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/95.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.790942] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/43.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.791156] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/81.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.791444] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/0.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.791668] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/22.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.791921] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/10.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.792177] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/13.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.792387] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/63.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.792709] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/60.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.793113] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/20.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.793310] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/36.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.793453] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/30.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.793755] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/75.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.793954] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/97.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.794212] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/77.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.794381] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/2.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.794599] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/125.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.794825] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/112.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.795079] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/110.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.795305] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/31.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.795568] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/45.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.795822] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/69.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.796089] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/115.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.796293] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/82.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.796542] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/37.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.796772] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/65.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.797065] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/42.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.797276] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/14.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.797515] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/71.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.797729] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/49.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.797961] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/91.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.798169] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/101.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.798407] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/44.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.798686] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/54.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.798894] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/108.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.799214] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/52.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.799443] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/56.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.799721] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/90.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.800018] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/19.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.800246] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/59.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.800449] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/114.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.800770] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/67.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.800919] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/7.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.801156] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/12.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.801388] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/104.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.801465] (-) TimerEvent: {}
[0.801603] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/25.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.801886] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/87.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.802124] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/1.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.802377] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/66.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.802678] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/58.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.802881] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/102.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.803061] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/106.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.803283] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/124.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.803543] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/41.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.803817] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/73.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.804082] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/5.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.804331] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/6.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.804579] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/62.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.804793] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/85.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.805031] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/47.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.805262] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/123.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.805521] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/89.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.805740] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/94.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.805999] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/88.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.806200] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/46.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.806440] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/32.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.806671] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/126.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.806935] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/21.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.807158] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/72.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.807386] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/33.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.807643] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/3.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.807860] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/29.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.808086] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/107.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.808329] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/116.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.808546] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/64.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.808803] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/70.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.809028] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/80.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.809289] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/120.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.809514] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/103.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.809789] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/61.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.810009] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/122.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.810291] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/76.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.810482] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/11.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.810763] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/48.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.811042] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/86.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.811227] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/4.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.811439] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/17.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.811711] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/93.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
